ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	17	1	2	0.000000	19.058824	7.941176	0.000000	0.000000	0	0	0
2	25	1	2	0.000000	22.320000	14.320000	0.000000	0.000000	0	0	0
3	18	1	2	0.000000	21.055556	5.777778	0.000000	0.000000	0	0	0
4	56	1	1	0.000000	19.517857	13.071429	0.000000	0.000000	0	0	0
5	20	1	1	0.000000	23.150000	14.950000	0.000000	0.000000	0	0	0
6	41	1	2	0.000000	26.414634	19.536585	0.000000	0.000000	0	0	0
7	15	1	2	0.000000	17.133333	14.600000	0.000000	0.000000	0	0	0
8	24	1	2	0.000000	21.291667	12.666667	0.000000	0.000000	0	0	0
9	28	2	2	0.000000	23.250000	18.750000	0.000000	0.000000	0	0	0
10	12	2	1	0.000000	24.583333	13.333333	0.000000	0.000000	0	0	0
11	6	2	1	0.000000	25.000000	15.666667	0.000000	0.000000	0	0	0
12	3	1	1	0.000000	26.000000	19.000000	0.000000	0.000000	0	0	0
13	34	1	2	0.000000	30.176471	22.617647	0.000000	0.000000	0	0	0
14	2	2	1	0.000000	27.500000	18.500000	0.000000	0.000000	0	0	0
15	49	1	2	0.000000	17.102041	13.142857	0.000000	0.000000	0	0	0
16	38	1	2	0.000000	19.947368	14.052632	0.000000	0.000000	0	0	0
17	14	1	2	0.000000	17.214286	9.428571	0.000000	0.000000	0	0	0
18	95	2	2	0.000000	18.600000	13.042105	0.000000	0.000000	0	0	0
19	10	2	1	0.000000	24.400000	19.300000	0.000000	0.000000	0	0	0
20	10	1	1	0.000000	1.200000	1.200000	0.000000	0.000000	0	0	0
21	4	2	2	0.000000	24.250000	4.000000	0.000000	0.000000	0	0	0
22	1	1	1	0.000000	24.000000	16.000000	0.000000	0.000000	0	0	0
23	2	1	1	0.000000	25.500000	15.000000	0.000000	0.000000	0	0	0
24	5	2	2	0.000000	22.800000	5.200000	0.000000	0.000000	0	0	0
25	19	1	1	0.000000	23.315789	11.157895	0.000000	0.000000	0	0	0
26	26	1	2	0.000000	13.423077	7.153846	0.000000	0.000000	0	0	0
27	36	1	2	0.000000	16.027778	9.555556	0.000000	0.000000	0	0	0
28	63	2	2	0.000000	19.111111	15.746032	0.000000	0.000000	0	0	0
29	81	1	2	0.000000	20.320988	11.851852	0.000000	0.000000	0	0	0
30	9	2	2	0.000000	18.777778	12.222222	0.000000	0.000000	0	0	0
31	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
32	4	1	2	0.000000	1.750000	1.750000	0.000000	0.000000	0	0	0
33	9	2	1	0.000000	21.000000	11.555556	0.000000	0.000000	0	0	0
34	1	2	1	0.000000	18.000000	10.000000	0.000000	0.000000	0	0	0
35	31	1	1	0.000000	1.096774	1.096774	0.000000	0.000000	0	0	0
36	14	1	1	0.000000	23.214286	16.071429	0.000000	0.000000	0	0	0
37	130	1	2	0.000000	15.469231	12.076923	0.000000	0.000000	0	0	0
38	46	2	1	0.000000	18.391304	13.130435	0.000000	0.000000	0	0	0
39	41	1	2	0.000000	16.853659	9.975610	0.000000	0.000000	0	0	0
40	21	1	2	0.000000	24.904762	11.761905	0.000000	0.000000	0	0	0
41	121	1	2	0.000000	22.016529	13.107438	0.000000	0.000000	0	0	0
42	75	2	2	0.000000	22.013333	14.320000	0.000000	0.000000	0	0	0
43	17	1	1	0.000000	17.941176	14.411765	0.000000	0.000000	0	0	0
44	4	1	2	0.000000	17.250000	14.250000	0.000000	0.000000	0	0	0
45	56	2	1	0.000000	19.107143	12.000000	0.000000	0.000000	0	0	0
46	15	1	1	0.000000	22.933333	12.933333	0.000000	0.000000	0	0	0
47	7	1	2	0.000000	27.285714	10.571429	0.000000	0.000000	0	0	0
48	22	1	1	0.000000	28.545455	15.272727	0.000000	0.000000	0	0	0
49	11	1	2	0.000000	21.363636	15.363636	0.000000	0.000000	0	0	0
50	3	2	2	0.000000	20.666667	16.666667	0.000000	0.000000	0	0	0
51	2	2	1	0.000000	17.500000	10.500000	0.000000	0.000000	0	0	0
52	87	1	2	0.000000	18.310345	12.275862	0.000000	0.000000	0	0	0
53	29	2	3	0.000000	18.448276	14.655172	0.000000	0.000000	0	0	0
54	31	1	1	0.000000	20.129032	12.354839	0.000000	0.000000	0	0	0
55	49	2	2	0.000000	16.632653	9.775510	0.000000	0.000000	0	0	0
56	58	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
57	104	2	2	0.000000	20.500000	12.221154	0.000000	0.000000	0	0	0
58	16	1	1	0.000000	19.937500	13.500000	0.000000	0.000000	0	0	0
59	68	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
60	13	1	2	0.000000	13.461538	9.461538	0.000000	0.000000	0	0	0
61	65	1	0	0.000000	1.046154	1.046154	0.000000	0.000000	0	0	0
62	22	2	1	0.000000	21.863636	6.863636	0.000000	0.000000	0	0	0
63	11	2	2	0.000000	21.818182	11.454545	0.000000	0.000000	0	0	0
64	59	1	1	0.000000	1.084746	1.084746	0.000000	0.000000	0	0	0
65	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
66	10	2	2	0.000000	27.400000	2.800000	0.000000	0.000000	0	0	0
67	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
68	16	1	2	0.000000	1.250000	1.250000	0.000000	0.000000	0	0	0
69	2	1	1	0.000000	24.500000	17.500000	0.000000	0.000000	0	0	0
70	29	2	2	0.000000	22.275862	14.413793	0.000000	0.000000	0	0	0
71	43	1	1	0.000000	18.441860	12.744186	0.000000	0.000000	0	0	0
72	13	2	1	0.000000	19.076923	12.769231	0.000000	0.000000	0	0	0
73	65	1	1	0.000000	1.184615	1.184615	0.000000	0.000000	0	0	0
74	23	1	1	0.000000	19.608696	17.565217	0.000000	0.000000	0	0	0
75	33	2	2	0.000000	21.000000	15.121212	0.000000	0.000000	0	0	0
76	3	1	2	0.000000	15.000000	9.000000	0.000000	0.000000	0	0	0
77	23	1	1	0.000000	16.478261	7.782609	0.000000	0.000000	0	0	0
78	6	2	2	0.000000	20.666667	10.333333	0.000000	0.000000	0	0	0
79	8	1	2	0.000000	23.125000	6.625000	0.000000	0.000000	0	0	0
80	47	1	1	0.000000	16.872340	9.255319	0.000000	0.000000	0	0	0
81	17	2	2	0.000000	18.117647	7.647059	0.000000	0.000000	0	0	0
82	4	2	2	0.000000	20.750000	2.250000	0.000000	0.000000	0	0	0
83	67	1	1	0.000000	20.417910	13.985075	0.000000	0.000000	0	0	0
84	25	2	2	0.000000	20.480000	15.760000	0.000000	0.000000	0	0	0
85	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
86	42	1	2	0.000000	15.833333	5.547619	0.000000	0.000000	0	0	0
87	11	1	2	0.000000	17.545455	14.454545	0.000000	0.000000	0	0	0
88	48	1	1	0.000000	26.125000	16.166667	0.000000	0.000000	0	0	0
89	11	1	2	0.000000	16.818182	11.909091	0.000000	0.000000	0	0	0
90	19	1	2	0.000000	15.789474	11.263158	0.000000	0.000000	0	0	0
91	50	1	2	0.000000	11.760000	7.180000	0.000000	0.000000	0	0	0
92	29	2	3	0.000000	17.448276	10.310345	0.000000	0.000000	0	0	0
93	8	1	1	0.000000	19.125000	10.625000	0.000000	0.000000	0	0	0
94	3	2	2	0.000000	18.000000	9.666667	0.000000	0.000000	0	0	0
95	3	1	1	0.000000	14.000000	10.000000	0.000000	0.000000	0	0	0
96	2	1	2	0.000000	15.500000	11.500000	0.000000	0.000000	0	0	0
97	10	1	2	0.000000	19.600000	16.500000	0.000000	0.000000	0	0	0
98	28	1	2	0.000000	14.964286	10.178571	0.000000	0.000000	0	0	0
99	78	1	0	0.000000	1.012821	1.012821	0.000000	0.000000	0	0	0
100	50	1	1	0.000000	13.020000	9.740000	0.000000	0.000000	0	0	0
101	2	1	2	0.000000	13.500000	10.500000	0.000000	0.000000	0	0	0
102	3	1	2	0.000000	15.333333	12.000000	0.000000	0.000000	0	0	0
103	65	1	0	0.000000	1.076923	1.076923	0.000000	0.000000	0	0	0
104	38	1	1	0.000000	17.421053	10.026316	0.000000	0.000000	0	0	0
105	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
106	41	1	2	0.000000	22.926829	11.365854	0.000000	0.000000	0	0	0
107	38	1	1	0.000000	12.078947	6.736842	0.000000	0.000000	0	0	0
108	13	1	2	0.000000	14.692308	9.461538	0.000000	0.000000	0	0	0
109	10	1	2	0.000000	11.700000	8.200000	0.000000	0.000000	0	0	0
110	96	1	2	0.000000	16.958333	9.333333	0.000000	0.000000	0	0	0
111	33	1	2	0.000000	16.272727	9.333333	0.000000	0.000000	0	0	0
112	60	1	2	0.000000	23.333333	13.933333	0.000000	0.000000	0	0	0
113	35	1	2	0.000000	17.857143	12.600000	0.000000	0.000000	0	0	0
114	56	1	2	0.000000	20.732143	9.250000	0.000000	0.000000	0	0	0
115	64	1	1	0.000000	1.031250	1.031250	0.000000	0.000000	0	0	0
116	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
117	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
118	31	1	1	0.000000	18.677419	12.677419	0.000000	0.000000	0	0	0
119	10	1	1	0.000000	15.600000	10.000000	0.000000	0.000000	0	0	0
120	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
121	93	2	2	0.000000	20.784946	11.279570	0.000000	0.000000	0	0	0
122	27	2	1	0.000000	12.962963	5.962963	0.000000	0.000000	0	0	0
123	62	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
124	5	1	2	0.000000	17.800000	7.800000	0.000000	0.000000	0	0	0
125	2	2	2	0.000000	18.500000	2.000000	0.000000	0.000000	0	0	0
126	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
127	65	1	0	0.000000	1.046154	1.046154	0.000000	0.000000	0	0	0
128	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
129	72	1	0	0.000000	1.333333	1.208333	0.000000	0.000000	0	0	0
130	47	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
131	64	1	2	0.000000	21.734375	11.843750	0.000000	0.000000	0	0	0
132	74	1	0	0.000000	1.148649	1.148649	0.000000	0.000000	0	0	0
133	82	1	0	0.000000	1.060976	1.060976	0.000000	0.000000	0	0	0
134	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
135	1	2	2	0.000000	29.000000	2.000000	0.000000	0.000000	0	0	0
136	46	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
137	64	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
138	66	0	0	0.000000	1.045455	1.045455	0.000000	0.000000	0	0	0
139	84	1	0	0.000000	1.023810	1.023810	0.000000	0.000000	0	0	0
140	96	1	1	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
141	65	1	1	0.000000	1.030769	1.030769	0.000000	0.000000	0	0	0
142	23	1	2	0.000000	1.521739	1.521739	0.000000	0.000000	0	0	0
143	77	0	1	0.000000	1.168831	1.168831	0.000000	0.000000	0	0	0
144	17	1	2	0.000000	23.588235	1.117647	0.000000	0.000000	0	0	0
145	55	1	1	0.000000	1.072727	1.072727	0.000000	0.000000	0	0	0
146	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
147	85	1	0	0.000000	1.035294	1.035294	0.000000	0.000000	0	0	0
148	64	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
149	31	1	1	0.000000	1.419355	1.419355	0.000000	0.000000	0	0	0
150	19	1	2	0.000000	17.947368	6.421053	0.000000	0.000000	0	0	0
151	67	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
152	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
153	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
154	69	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
155	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
156	3	1	2	0.000000	19.333333	1.666667	0.000000	0.000000	0	0	0
157	101	1	1	0.000000	1.069307	1.069307	0.000000	0.000000	0	0	0
158	80	1	0	0.000000	1.150000	1.150000	0.000000	0.000000	0	0	0
159	39	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
160	51	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
161	85	1	2	0.000000	20.741176	10.588235	0.000000	0.000000	0	0	0
162	72	1	2	0.000000	17.236111	10.569444	0.000000	0.000000	0	0	0
163	16	2	2	0.000000	26.750000	17.312500	0.000000	0.000000	0	0	0
164	10	1	1	0.000000	24.600000	13.900000	0.000000	0.000000	0	0	0
165	22	1	1	0.000000	1.136364	1.136364	0.000000	0.000000	0	0	0
166	47	1	2	0.000000	1.042553	1.042553	0.000000	0.000000	0	0	0
167	17	2	2	0.000000	29.294118	17.352941	0.000000	0.000000	0	0	0
168	34	1	2	0.000000	23.764706	7.470588	0.000000	0.000000	0	0	0
169	72	2	2	0.000000	21.055556	14.125000	0.000000	0.000000	0	0	0
170	26	1	2	0.000000	12.192308	10.230769	0.000000	0.000000	0	0	0
171	23	2	2	0.000000	9.478261	8.695652	0.000000	0.000000	0	0	0
172	13	1	1	0.000000	25.153846	16.384615	0.000000	0.000000	0	0	0
173	61	2	2	0.000000	16.377049	8.901639	0.000000	0.000000	0	0	0
174	22	1	1	0.000000	13.545455	8.636364	0.000000	0.000000	0	0	0
175	27	2	1	0.000000	22.259259	15.444444	0.000000	0.000000	0	0	0
176	39	2	1	0.000000	19.564103	5.769231	0.000000	0.000000	0	0	0
177	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
178	26	1	2	0.000000	22.038462	18.384615	0.000000	0.000000	0	0	0
179	18	1	2	0.000000	27.388889	11.611111	0.000000	0.000000	0	0	0
180	17	1	1	0.000000	26.588235	4.117647	0.000000	0.000000	0	0	0
181	11	1	2	0.000000	26.000000	17.090909	0.000000	0.000000	0	0	0
182	12	1	1	0.000000	21.583333	13.666667	0.000000	0.000000	0	0	0
183	45	1	2	0.000000	19.400000	11.155556	0.000000	0.000000	0	0	0
184	21	1	1	0.000000	16.619048	3.142857	0.000000	0.000000	0	0	0
185	59	1	1	0.000000	17.338983	12.067797	0.000000	0.000000	0	0	0
186	36	2	2	0.000000	21.888889	13.472222	0.000000	0.000000	0	0	0
187	52	2	2	0.000000	24.153846	13.423077	0.000000	0.000000	0	0	0
188	37	1	2	0.000000	21.108108	4.216216	0.000000	0.000000	0	0	0
189	6	2	2	0.000000	21.000000	17.000000	0.000000	0.000000	0	0	0
190	6	1	2	0.000000	17.500000	10.666667	0.000000	0.000000	0	0	0
191	14	1	2	0.000000	18.857143	12.071429	0.000000	0.000000	0	0	0
192	1	1	2	0.000000	17.000000	12.000000	0.000000	0.000000	0	0	0
193	140	1	2	0.000000	21.285714	15.221429	0.000000	0.000000	0	0	0
194	110	2	2	0.000000	22.063636	14.909091	0.000000	0.000000	0	0	0
195	23	1	1	0.000000	19.608696	12.130435	0.000000	0.000000	0	0	0
196	50	1	2	0.000000	26.020000	14.980000	0.000000	0.000000	0	0	0
197	21	1	3	0.000000	18.000000	10.571429	0.000000	0.000000	0	0	0
198	164	2	2	0.000000	18.969512	11.829268	0.000000	0.000000	0	0	0
199	54	1	1	0.000000	19.500000	10.092593	0.000000	0.000000	0	0	0
200	3	1	2	0.000000	26.333333	16.666667	0.000000	0.000000	0	0	0
201	7	1	1	0.000000	20.142857	11.428571	0.000000	0.000000	0	0	0
202	21	1	1	0.000000	2.238095	1.476190	0.000000	0.000000	0	0	0
203	26	1	2	0.000000	21.884615	15.346154	0.000000	0.000000	0	0	0
